X,Y,Z,ROLL,PITCH,YAW
-1.359,0.178,1.171,0.11101,0.16463,-0.20011
-1.266,0.135,1.093,-0.1319,-0.17353,0.09996
-1.14,0.073,0.989,0.2803,0.2248,-0.32105
-1.075,0.03,0.901,-0.02216,0.12007,-0.09296
-0.97,0.031,0.728,0.26059,0.12007,0.04246
-0.838,0.016,0.546,-0.21424,0.12007,0.12636
-0.671,-0.005,0.375,-0.06126,0.12007,0.15842
-0.477,-0.031,0.307,0.03485,0.12007,0.14407
-0.306,-0.101,0.231,0.13011,0.12007,0.03964
-0.012,-0.166,0.242,0.25485,0.12007,-0.10242
0.255,-0.2,0.219,-0.15005,0.12007,-0.28234
0.452,-0.2,0.173,0.10949,0.12007,0.20798
0.574,-0.285,0.133,-0.22564,0.12007,-0.0176
0.73,-0.354,0.075,-0.12015,0.24671,0.31792
1.05,-0.394,-0.161,-0.12015,-0.15666,-0.11788
1.242,-0.417,-0.464,-0.12015,0.23028,0.06526
1.152,-0.317,-0.811,-0.12015,0.12538,0.23949
0.864,-0.161,-1.22,-0.12015,0.15666,-0.11967
0.598,-0.1,-1.478,-0.12015,0.12969,-0.29219
0.438,-0.107,-1.619,-0.22381,-0.06941,-0.31769
0.393,-0.157,-1.708,0.2317,-0.31614,0.30668
0.482,-0.356,-1.622,0.14506,-0.04576,0.1476
0.518,-0.569,-1.511,0.17804,-0.07813,-0.09485
0.44,-0.608,-1.44,0.21834,-0.26447,0.30433
0.253,-0.627,-1.486,0.19514,0.13601,-0.00208
-0.156,-0.65,-1.542,0.08995,-0.05269,-0.17216
-0.57,-0.516,-1.645,-0.0796,-0.10766,-0.07552
-0.782,-0.423,-1.698,-0.23807,-0.23933,0.20036
-0.773,-0.433,-1.747,0.24157,0.11671,-0.1763
-0.507,-0.57,-1.839,0.03401,-0.29961,-0.06454
-0.233,-0.689,-1.901,-0.14118,-0.05853,-0.22172
-0.141,-0.626,-1.981,0.29601,-0.27273,0.23532
-0.155,-0.487,-2.0,0.09998,-0.09983,0.18608
-0.238,-0.438,-2.0,-0.14323,0.31315,0.19891
-0.375,-0.451,-2.0,0.20519,0.05793,0.2125
-0.436,-0.44,-2.0,-0.13824,0.28137,0.22853
-0.555,-0.369,-2.0,0.02086,0.09251,0.32044
-0.651,-0.272,-2.0,0.26683,0.2188,-0.31431
-0.787,-0.088,-2.0,-0.12347,0.11989,-0.29928
-0.845,-0.017,-2.0,0.20051,-0.26622,-0.19691
-0.912,0.027,-2.0,-0.16895,0.1241,-0.10233
-1.05,0.168,-2.0,0.16793,-0.06483,0.01065
-1.183,0.323,-1.814,0.12007,-0.23109,0.16973
-1.306,0.429,-1.648,0.12007,0.25419,-0.30555
-1.416,0.492,-1.557,0.12007,0.12007,-0.11448
-1.627,0.53,-1.486,0.12007,0.12007,0.12598
-1.77,0.581,-1.362,0.12007,0.12007,-0.26412
-1.893,0.597,-1.104,0.12007,0.12007,0.03931
-1.974,0.499,-0.597,0.12007,0.12007,0.06662
-1.89,0.458,-0.389,0.12007,0.12007,-0.15546
-1.634,0.366,-0.194,0.12007,0.12007,0.20508
-1.317,0.33,0.049,0.12007,0.12007,-0.27494
-1.065,0.327,0.485,0.12007,0.12007,-0.19883
-0.168,0.445,1.826,-0.27179,0.12007,0.0263
-0.857,0.533,0.166,-0.24636,-0.31224,0.07225
-0.943,0.466,0.737,-0.26689,-0.23637,0.21874
-0.983,0.739,1.562,-0.13683,-0.05645,0.26149
-1.162,0.764,1.256,-0.18441,-0.07134,-0.21692
-1.22,0.625,0.909,0.0159,-0.19042,0.04491
-1.166,0.591,0.838,0.12979,-0.29134,0.25819
-1.022,0.528,0.922,0.24689,0.22357,0.32292
-0.83,0.297,1.107,-0.08419,-0.00384,0.14872
-0.75,0.254,1.061,0.32335,-0.28735,-0.10555
-0.669,0.343,0.783,-0.03407,0.129,0.3037
-0.544,0.377,0.562,0.11357,0.12007,0.01149
-0.498,0.517,0.259,0.09799,0.12007,-0.22981
-0.456,0.734,0.07,-0.07361,0.12847,0.31975
-0.424,0.868,0.018,-0.30758,-0.05079,-0.30317
-0.505,0.885,0.242,0.17259,-0.12508,-0.15416
-0.649,0.785,0.41,0.18519,-0.22593,0.07401
-0.776,0.684,0.609,-0.32643,0.20636,0.31225
-0.836,0.66,0.639,-0.15682,-0.16534,-0.08082
-0.872,0.62,0.572,-0.08124,-0.12717,0.13895
-0.843,0.453,0.545,-0.0846,-0.25587,0.29643
-0.656,0.282,0.552,-0.05933,0.1533,0.17132
-0.483,0.177,0.605,0.02853,-0.17845,-0.22204
-0.432,0.238,0.637,0.15761,0.03126,-0.01233
-0.455,0.415,0.613,0.27906,0.30326,0.28402
-0.59,0.641,0.481,-0.29134,-0.05788,0.0657
-0.591,0.693,0.361,-0.30309,-0.12422,0.04303
-0.593,0.713,0.247,0.31944,0.05952,0.11257
-0.655,0.668,0.253,0.29708,0.26815,0.23242
-0.648,0.596,0.339,-0.31416,-0.23179,-0.30408
-0.638,0.588,0.297,-0.24195,-0.09462,-0.18996
-0.569,0.573,0.261,-0.19531,0.02111,-0.11798
-0.286,0.48,0.13,-0.1037,0.17843,-0.16462
-0.141,0.486,0.103,-0.02309,-0.3241,-0.2808
-0.104,0.511,0.028,0.01279,-0.19807,0.25799
-0.073,0.508,0.01,0.00584,-0.13128,0.13715
-0.119,0.51,0.034,-0.04698,-0.15387,0.01563
